ID,Unnamed: 0.1,ID_img,timestamp,x,y,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,date,typename,subcategory,detail,Measurement,note,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
145,575,254,130623.05,590787.2058,6136770.529,4,9,1.6,23.33,M,39.413,M,1,0013*76,,Light Fixture,Standing,,GNSS,,,,1034152976,,
146,572,250,130514.55,590785.2327,6136788.187,4,8,2.1,23.486,M,39.413,M,1.5,0013*7D,,Light Fixture,Standing,,GNSS,,,,1034152977,,
147,571,248,130425.15,590753.2751,6136774.234,4,8,1.4,23.692,M,39.413,M,1.1,0013*79,,Light Fixture,Standing,,GNSS,,,,1113474623,,
148,570,247,130405.5,590742.8101,6136773.688,4,9,1.7,23.746,M,39.413,M,1.5,0013*71,,Light Fixture,Standing,,GNSS,,,,1113474640,,
149,583,239,131142.55,590721.1529,6136748.637,4,9,1.5,23.08,M,39.413,M,1.5,0013*70,,Light Fixture,Standing,,GNSS,,,,1034152909,,
150,579,233,130825.2,590750.4253,6136751.424,4,10,1.1,23.261,M,39.413,M,1.2,0013*7D,,Light Fixture,Standing,,GNSS,,,,1034152910,,
151,576,232,130651.05,590779.7757,6136754.699,4,10,1.1,23.089,M,39.413,M,1,0013*79,,Light Fixture,Standing,,GNSS,,,,1034152911,,
152,457,230,120825.6,590790.9284,6136730.795,4,13,0.8,23.346,M,39.413,M,1.6,0013*7F,,Light Fixture,Standing,,GNSS,,,,1034152916,,
153,452,224,120651.4,590771.5494,6136729.061,4,12,1,23.166,M,39.413,M,1.4,0013*7F,,Light Fixture,Standing,,GNSS,,,,1034152915,,
154,446,218,120301.9,590752.4323,6136727.239,4,14,0.8,23.198,M,39.413,M,0.9,0013*7F,,Light Fixture,Standing,,GNSS,,,,1034152914,,
155,438,209,115809.05,590714.4055,6136723.456,4,14,0.8,23.557,M,39.413,M,1,0013*70,,Light Fixture,Standing,,GNSS,,,,1034152912,,
156,480,203,121757.05,590792.5841,6136712.906,4,12,0.9,23.264,M,39.413,M,1,0013*7D,,Light Fixture,Standing,,GNSS,,,,1034152917,,
157,477,200,121640.65,590773.3686,6136711.455,4,12,1,23.054,M,39.413,M,1.6,0013*7F,,Light Fixture,Standing,,GNSS,,,,1034152918,,
158,470,194,121416.3,590754.1617,6136709.458,4,12,0.9,23.149,M,39.413,M,1.3,0013*71,,Light Fixture,Standing,,GNSS,,,,1034152919,,
159,466,189,121241.55,590735.2811,6136707.351,4,13,0.8,23.216,M,39.413,M,1.5,0013*7C,,Light Fixture,Standing,,GNSS,,,,1034152920,,
160,463,186,121124.95,590715.9481,6136705.695,4,12,1.1,23.403,M,39.413,M,0.9,0013*75,,Light Fixture,Standing,,GNSS,,,,1034152921,,
161,498,183,122528.65,590717.993,6136687.644,4,12,1.1,23.28,M,39.413,M,1.6,0013*7E,,Light Fixture,Standing,,GNSS,,,,1034152922,,
162,493,175,122320.4,590737.1312,6136689.867,4,10,1.3,23.3,M,39.413,M,1.4,0013*7F,,Light Fixture,Standing,,GNSS,,,,1034152923,,
163,489,172,122152.8,590756.1815,6136691.714,4,13,0.9,23.41,M,39.413,M,0.8,0013*7E,,Light Fixture,Standing,,GNSS,,,,1034152924,,
164,484,165,121935.15,590775.2922,6136693.149,4,11,1,23.164,M,39.413,M,1.1,0013*74,,Light Fixture,Standing,,GNSS,,,,1034152925,,
165,481,162,121842,590794.2897,6136695.434,4,11,1.1,23.254,M,39.413,M,1,0013*76,,Light Fixture,Standing,,GNSS,,,,1034152926,,
166,432,146,115513.7,590699.0127,6136749.6,4,15,0.8,23.486,M,39.413,M,1.7,0013*78,,Light Fixture,Standing,,GNSS,,,,1210520552,,
167,430,145,115428.45,590697.0172,6136771.881,4,14,0.8,23.498,M,39.413,M,1.5,0013*7C,,Light Fixture,Standing,,GNSS,,,,1210520553,,
168,425,144,115132.55,590694.4681,6136797.102,4,11,1.1,23.517,M,39.413,M,1.5,0013*7B,,Light Fixture,Standing,,GNSS,,,,1210520554,,
169,424,143,115100.2,590692.066,6136822.11,4,11,1.1,23.506,M,39.413,M,1.2,0013*72,,Light Fixture,Standing,,GNSS,,,,1210520555,,
170,426,142,115202.65,590682.7705,6136791.255,4,11,1,24.028,M,39.413,M,1.6,0013*71,,Light Fixture,Standing,,GNSS,,,,,,
171,428,141,115319.6,590671.7831,6136789.817,4,6,1.9,24.195,M,39.413,M,1.6,0013*73,,Light Fixture,Standing,,GNSS,,,,,,
172,427,140,115301.05,590661.9117,6136788.953,4,10,1.3,24.728,M,39.413,M,2,0013*76,,Light Fixture,Standing,,GNSS,,40036,,,,
173,423,138,114932.95,590658.3614,6136796.296,4,9,1.4,24.527,M,39.413,M,2,0013*77,,Light Fixture,Standing,,GNSS,,,,1034152956,,
174,420,137,114830,590660.9803,6136772.082,4,9,1.4,24.393,M,39.413,M,1,0013*78,,Light Fixture,Standing,,GNSS,,,,,,
175,415,134,114614.7,590667.706,6136755.779,4,8,1.4,23.842,M,39.413,M,0.7,0013*70,,Light Fixture,Standing,,GNSS,,,,1034152955,,
178,402,121,113813.25,590653.5418,6136724.546,4,12,0.9,23.967,M,39.413,M,1.3,0007*70,,Light Fixture,Standing,,GNSS,,40023,,,,
179,400,120,113711.05,590662.9634,6136731.351,4,13,0.9,23.518,M,39.413,M,1,0007*73,,Light Fixture,Standing,,GNSS,,40024,,1034152954,,
180,394,111,113313.45,590665.4083,6136704.133,4,15,0.8,24.038,M,39.413,M,1.5,0007*71,,Light Fixture,Standing,,GNSS,,,,,,
181,376,109,112312.65,590670.9019,6136694.971,4,12,1.2,24.043,M,39.413,M,1.6,0007*76,,Light Fixture,Standing,,GNSS,,,,,,
182,377,108,112346.05,590693.8196,6136697.281,4,13,0.8,23.669,M,39.413,M,2,0007*7B,,Light Fixture,Standing,,GNSS,,,,1103669242,,
183,392,101,113155.35,590671.01,6136726.149,4,14,0.8,23.68,M,39.413,M,1.4,0007*71,,Light Fixture,Standing,,GNSS,,,,1034152988,,
184,374,85,112159.6,590667.1581,6136684.729,4,11,1,24.127,M,39.413,M,1.6,0007*7C,,Light Fixture,Standing,,GNSS,,,,1034153008,,
185,370,82,112017.2,590692.2605,6136687.168,4,16,0.7,24.065,M,39.413,M,1.2,0007*71,,Light Fixture,Standing,,GNSS,,,,,,
186,371,81,112048.7,590680.1363,6136686.086,4,14,0.8,24.207,M,39.413,M,1.7,0007*78,,Light Fixture,Standing,,GNSS,,,,,,
187,368,77,111921.9,590694.0933,6136667.096,4,14,0.8,24.064,M,39.413,M,1.9,0007*75,,Light Fixture,Standing,,GNSS,,,,,,
188,366,76,111808.45,590682.5038,6136665.662,4,16,0.7,24.183,M,39.413,M,1.5,0007*74,,Light Fixture,Standing,,GNSS,,,,,,
189,367,75,111830.15,590681.3801,6136665.177,4,15,0.8,24.08,M,39.413,M,1.1,0007*73,,Light Fixture,Standing,,GNSS,,,,,,
190,358,67,111350.55,590698.2798,6136653.674,4,14,0.9,23.406,M,39.413,M,1.5,0007*74,,Light Fixture,Standing,,GNSS,,,,1103669300,,
191,345,48,105901.15,590721.1758,6136652.176,4,11,1.1,23.525,M,39.415,M,1.1,0000*72,,Light Fixture,Standing,,GNSS,,,,1103668991,,
192,339,44,105206.45,590732.3709,6136670.42,4,12,0.9,23.465,M,39.415,M,1.5,0000*70,,Light Fixture,Standing,,GNSS,,,,1034152930,,
