i,time,message,,lat_nmea,,lon_nmea,,,,,,,,,,
9,1619168505.662186,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
10,1619168506.2006335,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
11,1619168506.738683,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
12,1619168507.2785523,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
13,1619168507.6801505,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
14,1619168508.3565967,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
15,1619168508.7584252,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
16,1619168509.297379,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
17,1619168509.973055,$GPGGA,125059.30,5523.52009860,N,01022.88864575,E,4,11,0.9,7.595,M,39.466,M,1.3,0026*4C
18,1619168510.5043333,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
19,1619168511.0466812,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
20,1619168511.582181,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
21,1619168512.1208246,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
22,1619168512.6600356,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
23,1619168513.134794,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
24,1619168513.6741514,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
25,1619168514.2775366,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
26,1619168514.816975,$GPGGA,125103.90,5523.52009719,N,01022.88864864,E,4,13,0.8,7.614,M,39.466,M,1.9,0026*47
27,1619168515.2826304,$GPGGA,125109.05,5523.52010170,N,01022.88862700,E,4,12,0.8,7.643,M,39.466,M,1.0,0026*41
28,1619168515.8944192,$GPGGA,125109.05,5523.52010170,N,01022.88862700,E,4,12,0.8,7.643,M,39.466,M,1.0,0026*41
29,1619168516.2973795,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
30,1619168517.037069,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
31,1619168517.7768903,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
32,1619168518.3157256,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
33,1619168518.8550365,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
34,1619168519.3944736,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
35,1619168519.7961764,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
36,1619168520.463923,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
37,1619168520.9384644,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
38,1619168521.5423498,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
39,1619168522.0813031,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
40,1619168522.6203234,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
41,1619168523.1597624,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
42,1619168523.6995714,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
43,1619168524.0999863,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
44,1619168524.6395013,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
45,1619168525.3154764,$GPGGA,125110.15,5523.52010461,N,01022.88864407,E,4,11,0.8,7.643,M,39.466,M,1.1,0026*4D
46,1619168525.8553839,$GPGGA,125119.35,5523.52097962,N,01022.88904176,E,4,13,0.8,7.667,M,39.466,M,1.4,0026*42
47,1619168526.394001,$GPGGA,125119.35,5523.52097962,N,01022.88904176,E,4,13,0.8,7.667,M,39.466,M,1.4,0026*42
48,1619168526.9982095,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
49,1619168528.0027163,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
50,1619168528.5431366,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
51,1619168529.0804741,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
52,1619168529.5550416,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
53,1619168529.8949184,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
54,1619168530.4233549,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
55,1619168530.963075,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
56,1619168531.5020025,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
57,1619168532.0447297,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
58,1619168532.4433122,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
59,1619168533.3931274,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
60,1619168533.9240127,$GPGGA,125120.95,5523.52159907,N,01022.88936638,E,4,13,0.8,7.636,M,39.466,M,0.9,0026*46
61,1619168534.3977997,$GPGGA,125127.95,5523.52455907,N,01022.89266564,E,4,12,0.8,7.732,M,39.466,M,0.9,0026*49
62,1619168535.0025744,$GPGGA,125127.95,5523.52455907,N,01022.89266564,E,4,12,0.8,7.732,M,39.466,M,0.9,0026*49
63,1619168535.4037542,$GPGGA,125127.95,5523.52455907,N,01022.89266564,E,4,12,0.8,7.732,M,39.466,M,0.9,0026*49
64,1619168536.08023,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
65,1619168536.618672,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
66,1619168537.0931537,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
67,1619168537.9627235,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
68,1619168538.5016296,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
69,1619168539.0405793,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
70,1619168539.5153584,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
71,1619168540.1181653,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
72,1619168540.6570013,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
73,1619168541.197717,$GPGGA,125129.40,5523.52509259,N,01022.89355527,E,4,12,0.8,7.788,M,39.466,M,1.4,0026*4C
74,1619168541.736178,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
75,1619168542.1379428,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
76,1619168542.8140895,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
77,1619168543.352638,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
78,1619168543.8837895,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
79,1619168544.4235501,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
80,1619168544.8993204,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
81,1619168545.5003664,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
82,1619168546.103853,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
83,1619168546.8437877,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
84,1619168547.383148,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
85,1619168547.9222538,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
86,1619168548.3239937,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
87,1619168548.7995107,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
88,1619168549.2749672,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
89,1619168549.8159213,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
90,1619168550.6176188,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
91,1619168550.955789,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
92,1619168551.6962743,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
93,1619168552.2353652,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
94,1619168552.7735193,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
95,1619168553.3045912,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
96,1619168553.844311,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
97,1619168554.3178196,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
98,1619168554.9225883,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
99,1619168555.3962717,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
100,1619168555.9996603,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
101,1619168556.474656,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
102,1619168557.0788944,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
103,1619168557.5437937,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
104,1619168557.955398,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
105,1619168558.695127,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
106,1619168559.234869,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
107,1619168559.7728155,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
108,1619168560.3043823,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
109,1619168560.582876,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
110,1619168561.3823357,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
111,1619168561.7840195,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
112,1619168562.1952124,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
113,1619168562.7334673,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
114,1619168563.2643323,$GPGGA,125135.40,5523.52740689,N,01022.89724809,E,4,10,1.0,7.890,M,39.466,M,1.4,0026*49
115,1619168563.6749237,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
116,1619168564.415604,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
117,1619168565.1553965,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
118,1619168565.9604979,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
119,1619168566.4989862,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
120,1619168567.0374293,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
121,1619168567.4396737,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
122,1619168568.1167703,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
123,1619168568.5817657,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
124,1619168569.4592204,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
125,1619168569.9982154,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
126,1619168570.3363864,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
127,1619168571.0767252,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
128,1619168571.6166558,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
129,1619168572.0817435,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
130,1619168572.4229317,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
131,1619168572.9590394,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
132,1619168573.4984193,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
133,1619168573.9642317,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
134,1619168574.5757072,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
135,1619168574.977924,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
136,1619168575.6537735,$GPGGA,125157.05,5523.53694631,N,01022.89775713,E,4,08,1.3,8.321,M,39.466,M,2.0,0026*45
137,1619168576.1932933,$GPGGA,125209.45,5523.54254213,N,01022.89165569,E,4,10,0.9,8.555,M,39.466,M,1.5,0026*4B
138,1619168576.7245123,$GPGGA,125209.45,5523.54254213,N,01022.89165569,E,4,10,0.9,8.555,M,39.466,M,1.5,0026*4B
139,1619168577.2637188,$GPGGA,125209.45,5523.54254213,N,01022.89165569,E,4,10,0.9,8.555,M,39.466,M,1.5,0026*4B
140,1619168577.8039443,$GPGGA,125211.50,5523.54352600,N,01022.89064052,E,4,09,1.0,8.561,M,39.466,M,1.5,0026*4D
141,1619168578.2764406,$GPGGA,125211.50,5523.54352600,N,01022.89064052,E,4,09,1.0,8.561,M,39.466,M,1.5,0026*4D
142,1619168578.8803139,$GPGGA,125211.50,5523.54352600,N,01022.89064052,E,4,09,1.0,8.561,M,39.466,M,1.5,0026*4D
143,1619168579.4225132,$GPGGA,125211.50,5523.54352600,N,01022.89064052,E,4,09,1.0,8.561,M,39.466,M,1.5,0026*4D
144,1619168579.8210175,$GPGGA,125211.50,5523.54352600,N,01022.89064052,E,4,09,1.0,8.561,M,39.466,M,1.5,0026*4D
145,1619168580.4967284,$GPGGA,125211.50,5523.54352600,N,01022.89064052,E,4,09,1.0,8.561,M,39.466,M,1.5,0026*4D
146,1619168581.0363355,$GPGGA,125211.50,5523.54352600,N,01022.89064052,E,4,09,1.0,8.561,M,39.466,M,1.5,0026*4D
147,1619168581.5762024,$GPGGA,125211.50,5523.54352600,N,01022.89064052,E,4,09,1.0,8.561,M,39.466,M,1.5,0026*4D
148,1619168582.1143098,$GPGGA,125215.75,5523.54558555,N,01022.88852546,E,4,11,0.8,8.627,M,39.466,M,0.8,0026*40
149,1619168582.6548653,$GPGGA,125215.75,5523.54558555,N,01022.88852546,E,4,11,0.8,8.627,M,39.466,M,0.8,0026*40
150,1619168583.1199145,$GPGGA,125215.75,5523.54558555,N,01022.88852546,E,4,11,0.8,8.627,M,39.466,M,0.8,0026*40
151,1619168583.7240686,$GPGGA,125215.75,5523.54558555,N,01022.88852546,E,4,11,0.8,8.627,M,39.466,M,0.8,0026*40
152,1619168584.1976323,$GPGGA,125215.75,5523.54558555,N,01022.88852546,E,4,11,0.8,8.627,M,39.466,M,0.8,0026*40
153,1619168584.7373424,$GPGGA,125215.75,5523.54558555,N,01022.88852546,E,4,11,0.8,8.627,M,39.466,M,0.8,0026*40
154,1619168585.3411202,$GPGGA,125215.75,5523.54558555,N,01022.88852546,E,4,11,0.8,8.627,M,39.466,M,0.8,0026*40
155,1619168585.814993,$GPGGA,125215.75,5523.54558555,N,01022.88852546,E,4,11,0.8,8.627,M,39.466,M,0.8,0026*40
156,1619168586.418456,$GPGGA,125215.75,5523.54558555,N,01022.88852546,E,4,11,0.8,8.627,M,39.466,M,0.8,0026*40
157,1619168586.9576266,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
158,1619168587.4252605,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
159,1619168588.0355325,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
160,1619168588.3737373,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
161,1619168589.1141012,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
162,1619168589.6452093,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
163,1619168590.1837983,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
164,1619168590.7223918,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
165,1619168591.2610645,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
166,1619168591.801916,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
167,1619168592.3393176,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
168,1619168592.8790665,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
169,1619168593.4177563,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
170,1619168593.9570382,$GPGGA,125220.20,5523.54771222,N,01022.88637949,E,4,10,1.0,8.605,M,39.466,M,1.2,0026*45
171,1619168594.4243927,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
172,1619168594.9618692,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
173,1619168595.573637,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
174,1619168596.113159,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
175,1619168596.5789597,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
176,1619168597.1906645,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
177,1619168597.5931485,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
178,1619168598.2610266,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
179,1619168598.800091,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
180,1619168599.3439016,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
181,1619168599.878019,$GPGGA,125227.75,5523.55133093,N,01022.88265637,E,4,10,0.9,8.540,M,39.466,M,1.8,0026*4E
182,1619168600.4173622,$GPGGA,125233.95,5523.55411167,N,01022.88070556,E,4,09,1.0,8.199,M,39.466,M,0.9,0026*48
183,1619168600.9630685,$GPGGA,125233.95,5523.55411167,N,01022.88070556,E,4,09,1.0,8.199,M,39.466,M,0.9,0026*48
184,1619168601.4952586,$GPGGA,125233.95,5523.55411167,N,01022.88070556,E,4,09,1.0,8.199,M,39.466,M,0.9,0026*48
185,1619168602.0344439,$GPGGA,125233.95,5523.55411167,N,01022.88070556,E,4,09,1.0,8.199,M,39.466,M,0.9,0026*48
186,1619168602.5762467,$GPGGA,125233.95,5523.55411167,N,01022.88070556,E,4,09,1.0,8.199,M,39.466,M,0.9,0026*48
187,1619168603.1041517,$GPGGA,125233.95,5523.55411167,N,01022.88070556,E,4,09,1.0,8.199,M,39.466,M,0.9,0026*48
188,1619168603.644193,$GPGGA,125233.95,5523.55411167,N,01022.88070556,E,4,09,1.0,8.199,M,39.466,M,0.9,0026*48
189,1619168604.1831088,$GPGGA,125233.95,5523.55411167,N,01022.88070556,E,4,09,1.0,8.199,M,39.466,M,0.9,0026*48
190,1619168604.7935417,$GPGGA,125238.25,5523.55494685,N,01022.88078935,E,4,07,1.4,8.113,M,39.466,M,1.3,0026*4C
191,1619168605.2632968,$GPGGA,125238.25,5523.55494685,N,01022.88078935,E,4,07,1.4,8.113,M,39.466,M,1.3,0026*4C
192,1619168605.7992527,$GPGGA,125238.25,5523.55494685,N,01022.88078935,E,4,07,1.4,8.113,M,39.466,M,1.3,0026*4C
193,1619168606.0738852,$GPGGA,125239.70,5523.55496450,N,01022.88080443,E,4,09,1.1,8.143,M,39.466,M,0.7,0026*45
194,1619168606.4751084,$GPGGA,125239.70,5523.55496450,N,01022.88080443,E,4,09,1.1,8.143,M,39.466,M,0.7,0026*45
195,1619168607.0783675,$GPGGA,125239.70,5523.55496450,N,01022.88080443,E,4,09,1.1,8.143,M,39.466,M,0.7,0026*45
196,1619168607.6838493,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
197,1619168608.2224996,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
198,1619168608.695428,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
199,1619168609.298997,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
200,1619168609.8388789,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
201,1619168610.2400212,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
202,1619168610.6443162,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
203,1619168611.1857278,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
204,1619168611.7213855,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
205,1619168612.122323,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
206,1619168612.533236,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
207,1619168612.9354782,$GPGGA,125241.20,5523.55497305,N,01022.88080284,E,4,09,1.1,8.135,M,39.466,M,2.2,0026*42
